Orthogroup	Babesia_bovis	Cardiosporidium_cionae	Cryptosporidium_parvum	Cyclospora_cayetanensis	Eimeria_tenella	Haemoproteus_tartakovskyi	Hepatocystis	Neospora_caninum	Nephromyces	Plasmodium_berghei	Plasmodium_chabaudi	Plasmodium_falciparum	Plasmodium_gaboni	Plasmodium_gallinaceum	Plasmodium_knowlesi	Plasmodium_reichenowi	Plasmodium_vivax	Plasmodium_yoelii	Sarcocystis_neurona	Theileria_annulata	Toxoplasma_gondii	Total
OG0000097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	65
OG0000098	3	3	2	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	63
OG0000099	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	27	63
OG0000100	3	4	3	3	3	1	3	3	4	3	3	3	3	3	3	3	3	3	1	3	3	61
OG0000101	3	3	3	2	2	3	2	3	4	3	3	3	3	3	3	3	3	3	3	2	4	61
OG0000102	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	2	3	3	61
OG0000103	4	2	3	3	4	1	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	61
OG0000104	3	3	6	2	2	2	7	3	11	2	2	2	2	2	2	2	2	2	0	2	2	61
OG0000105	2	2	6	3	3	0	3	4	8	2	2	3	3	3	2	3	2	2	2	2	4	61
OG0000106	0	0	0	0	0	0	0	0	0	0	0	6	36	0	0	19	0	0	0	0	0	61
OG0000107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	61
OG0000108	3	2	3	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	60
OG0000109	3	4	2	1	2	1	4	3	4	3	3	3	3	3	3	3	3	3	3	3	3	60
OG0000110	4	2	3	3	3	3	2	4	2	3	3	3	3	2	3	2	3	3	1	4	4	60
OG0000111	2	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	60
OG0000112	2	3	2	3	3	3	2	3	1	3	3	3	3	3	3	3	3	3	3	5	3	60
OG0000113	2	4	1	2	3	3	2	3	6	3	3	3	3	3	3	3	3	3	2	1	3	59
OG0000114	3	3	0	2	3	2	3	3	5	3	3	3	3	3	3	3	3	3	2	2	3	58
OG0000115	3	2	3	3	3	2	2	3	1	3	3	3	3	3	3	3	3	3	3	3	3	58
OG0000116	3	2	1	2	3	0	3	3	5	3	3	3	3	3	3	3	3	3	2	3	3	57
OG0000117	1	2	0	2	3	3	3	5	3	2	2	3	3	3	3	3	3	2	4	1	6	57
OG0000118	2	2	2	3	3	2	2	3	3	3	3	3	3	3	3	3	3	3	3	2	3	57
OG0000119	3	2	1	2	3	2	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	57
OG0000120	3	5	3	3	4	2	2	4	4	2	2	2	2	2	2	2	2	2	4	1	4	57
OG0000121	3	4	1	2	3	2	3	2	2	3	3	3	3	3	3	3	3	3	3	2	3	57
OG0000122	0	0	0	0	0	0	0	0	0	0	0	7	8	4	20	8	10	0	0	0	0	57
OG0000123	0	5	4	5	5	0	2	3	8	2	2	2	2	2	2	2	2	2	3	0	3	56
OG0000124	2	1	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	3	55
OG0000125	2	1	4	3	5	1	3	2	1	3	3	3	3	3	3	3	3	3	2	2	2	55
OG0000126	2	3	1	2	3	3	2	3	4	3	3	3	3	3	3	3	3	3	2	1	2	55
OG0000127	2	2	2	2	2	2	3	3	2	3	3	3	3	3	3	3	3	3	3	2	3	55
OG0000128	0	3	1	2	2	2	3	5	4	3	3	3	3	3	3	3	3	3	0	1	5	55
OG0000129	0	0	0	0	0	0	0	0	0	2	25	0	0	0	0	0	0	28	0	0	0	55
OG0000130	3	1	5	4	3	2	2	3	6	2	2	2	2	2	2	2	2	2	0	4	3	54
OG0000131	2	1	2	3	3	2	3	2	1	3	3	3	3	3	3	3	3	3	3	2	3	54
OG0000132	2	3	3	4	3	2	2	4	4	2	2	2	2	2	2	2	2	2	4	1	4	54
OG0000133	1	2	1	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	2	1	3	53
OG0000134	4	0	4	2	5	0	2	3	1	2	3	2	2	2	2	2	2	2	3	4	5	52
OG0000135	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	24	0	0	0	52
OG0000136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	52
OG0000137	2	3	2	3	3	2	2	3	5	2	2	2	2	2	2	2	2	2	3	2	3	51
OG0000138	1	2	3	4	4	0	3	5	3	2	2	2	2	2	2	2	2	2	4	0	4	51
OG0000139	1	1	2	2	2	3	3	3	1	3	3	3	3	3	3	3	3	3	2	1	3	51
OG0000140	0	0	0	2	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51
OG0000141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	51
OG0000142	1	3	3	2	4	0	1	4	5	2	2	2	2	2	2	2	2	2	3	2	4	50
OG0000143	3	3	0	2	3	1	2	3	7	2	2	2	2	2	2	2	2	2	3	2	3	50
OG0000144	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	1	9	3	50
OG0000145	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49
OG0000146	2	3	2	3	3	2	2	3	3	2	2	2	2	2	2	2	2	2	3	2	3	49
OG0000147	2	3	2	3	3	2	2	3	3	2	2	2	2	2	2	2	2	2	3	2	3	49
OG0000148	2	3	3	1	3	2	2	4	0	2	2	2	2	2	2	2	2	2	4	2	4	48
OG0000149	2	1	0	2	2	1	4	2	2	3	3	3	3	3	3	3	3	3	1	2	2	48
OG0000150	0	4	2	5	5	0	1	6	6	1	1	1	1	1	1	1	1	1	4	0	6	48
OG0000151	2	3	1	2	3	2	2	3	4	2	2	2	2	2	2	2	2	2	2	2	3	47
OG0000152	0	0	0	3	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47
OG0000153	0	0	0	3	3	2	3	3	2	3	3	3	3	3	3	3	3	3	1	0	3	47
OG0000154	1	2	1	2	2	3	3	2	2	3	3	3	2	3	3	3	3	3	0	0	2	46
OG0000155	2	2	2	1	2	2	2	3	4	2	2	2	2	2	2	2	2	2	3	2	3	46
OG0000156	2	0	2	2	3	2	2	3	4	2	2	2	2	2	2	2	2	2	3	2	3	46
OG0000157	2	3	2	2	2	2	3	2	4	2	2	2	2	2	2	2	2	2	2	2	2	46
OG0000158	2	2	3	2	3	0	2	2	4	2	2	3	3	2	2	3	2	2	1	2	2	46
OG0000159	2	4	2	2	2	1	1	2	4	2	2	3	3	2	2	3	2	2	2	2	1	46
OG0000160	0	7	1	1	3	1	2	2	8	2	2	2	2	2	2	2	2	2	1	0	2	46
OG0000161	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	11	46
OG0000162	0	0	0	0	0	0	0	0	0	8	6	3	3	5	2	2	5	12	0	0	0	46
OG0000163	2	3	2	1	3	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	3	45
OG0000164	2	4	2	2	2	1	2	2	4	2	2	2	2	2	2	2	2	2	2	2	2	45
OG0000165	2	2	2	2	2	2	1	3	5	2	2	2	2	2	2	2	2	2	1	2	3	45
OG0000166	3	1	2	2	3	2	2	3	0	2	2	2	2	2	2	2	2	2	3	3	3	45
OG0000167	2	1	1	3	3	2	2	3	3	2	2	2	2	2	2	2	2	2	3	1	3	45
OG0000168	1	6	1	3	3	1	2	3	2	2	2	2	1	2	2	2	2	2	1	2	3	45
OG0000169	1	3	1	2	2	2	2	3	4	2	2	2	2	2	2	2	2	2	3	1	3	45
OG0000170	0	6	2	3	3	1	2	2	4	2	2	2	2	2	2	2	2	2	1	1	2	45
OG0000171	2	2	2	2	2	2	2	2	4	2	2	2	2	2	2	2	2	2	2	2	2	44
OG0000172	2	1	1	2	2	2	2	3	4	2	2	2	2	2	2	2	2	2	2	2	3	44
OG0000173	2	1	2	3	4	1	2	3	2	2	2	1	1	3	2	1	2	2	3	2	3	44
